id,business_name,business_email,business_phone,password,business_certificate_url,business_description,business_address,business_account_type,representative_name,representative_email,representative_phone,representative_gender,status,rejection_reason,created_at,updated_at
27,"Martinez, Ryan and Bell",app27@example.com,032-970-3296x6824,b4#OweJu_!,42ae67bd-d024-4297-95e5-6c0bc8c2ed3a,Management within turn radio in tough surface.,"1642 Courtney Crossing, North Ashley, MI 54116",wholesale,Christopher Roberts,rep27@example.com,(266)873-2374x888,Male,REJECTED,,2025-01-17 08:43:12,2025-07-03 16:07:23
28,"Wallace, Romero and Williams",app28@example.com,001-194-340-7584x264,ia5uG%SjJ^,5db457b3-85dd-4d1f-94fe-5d305ba9b77b,Check often guess always east center next.,"341 Angelica Heights Suite 504, Alyssafurt, SC 85099",retail,Taylor Morgan,rep28@example.com,287-777-8127,Male,REJECTED,,2024-07-05 14:07:46,2025-07-03 16:07:14
29,"Long, Strickland and Kennedy",app29@example.com,858.278.7379x813,%2X^D(*^wg,5fd77a6e-224c-4a85-b37e-09cd5e6d5792,Dog cell thousand boy media.,"4172 Miller Court, Lake Ellenfurt, NE 13545",retail,Clarence Thomas,rep29@example.com,572.609.9900,Male,PENDING,,2025-06-11 05:30:16,2025-07-03 16:08:18
30,Trevino-Mills,app30@example.com,001-007-622-7016x73414,C71IWFXc#W,60d648bd-e699-4349-b66d-75246937abea,Card avoid provide.,"12290 Brown Expressway, Tamitown, VA 82031",retail,Kurt Castro,rep30@example.com,+1-817-527-2609,Female,REJECTED,,2024-07-26 22:02:45,2025-07-03 16:07:32
31,Meyers-Young,app31@example.com,(073)769-4210,jd*5RjE(G^,a5c5ab4d-5abc-43cd-9f92-00bd73b60088,Play take put speak economic grow money.,"7715 Karen Coves Apt. 418, Smithview, ME 99118",wholesale,Amy Huang,rep31@example.com,(848)279-7978,Female,PENDING,,2024-07-29 13:16:11,2025-07-03 16:10:05
32,"Bauer, Chen and Torres",app32@example.com,705-323-5961,NbP9qtx8_0,e96b3fda-36a8-4a06-ae73-23586bc43f7a,Information all tell sister participant doctor.,"163 Cooper Walks, Kimberlybury, VT 57762",retail,Michael Rollins,rep32@example.com,2658150946,Female,PENDING,,2025-01-21 23:43:04,2025-07-03 16:08:18
33,Miranda Inc,app33@example.com,(105)420-3430x66998,6$9h^H#r_H,9d8cb6ee-8a98-48ac-a7de-cda92deb0061,Ever energy those fund over not identify.,"306 Hardin Plains, South Michaelborough, ID 80348",retail,Megan Jones,rep33@example.com,(115)919-0080x4677,Female,PENDING,,2024-11-26 08:42:49,2025-07-03 16:10:15
34,Edwards-Ballard,app34@example.com,291.377.6617x23430,$*y*6kWqhS,dd76e42d-442b-4a64-aa52-ff7360bb4223,Yeah Mr newspaper upon thank born.,"804 Kristi Avenue, North Lauramouth, WV 21258",retail,Brian Hernandez,rep34@example.com,+1-325-231-2218x11414,Male,APPROVED,,2024-11-14 21:38:04,2025-07-03 16:10:31
35,Leonard LLC,app35@example.com,446.338.5141,1gxp4GVal^,a599e5f3-4621-441b-934c-724e686889fe,Drug next charge serve.,"64231 Forbes Summit, Austinbury, UT 61832",wholesale,Marco Wright,rep35@example.com,001-363-458-2080x83999,Female,APPROVED,,2025-02-23 15:44:26,2025-07-03 16:10:16
36,Ross Ltd,app36@example.com,710.760.9776x534,vn*4zAwj@g,515b85cf-0367-4578-91ec-8986d584c3b6,Federal concern general.,"027 Katherine Mission Apt. 192, South Adam, NY 32193",wholesale,Dr. Ann Phelps DVM,rep36@example.com,(588)736-6070x504,Male,APPROVED,Hold play those west ever.,2024-09-23 10:19:14,2025-07-03 16:11:38
37,Estes LLC,app37@example.com,001-137-578-6586x5924,toF%7oCeHm,762bdd51-6241-494a-b727-8ecebb4b61d4,Oil social image.,"58251 Kara Points Apt. 737, North Gary, AL 25597",retail,Michael Glover,rep37@example.com,(839)851-9567,Male,APPROVED,,2025-03-14 19:08:21,2025-07-03 16:11:03
38,Singh Inc,app38@example.com,+1-479-190-2996x550,@4+U#fsof5,6bef37df-88ae-4e73-9422-a2a6ac3de6fe,Measure training tend into marriage improve sea.,"021 Rodriguez Pines Suite 725, Lake Danielberg, CO 94279",wholesale,Jasmine Clarke,rep38@example.com,3407118905,Male,REJECTED,,2025-04-11 17:34:13,2025-07-03 16:08:51
39,Miller and Sons,app39@example.com,001-182-807-3555,AWuT5ECt#T,2355b8a2-1b3c-43fc-b731-67c31cb5c4aa,Control research situation institution.,"520 Robert Lodge Apt. 356, Robertsstad, AR 37982",wholesale,Martin Baker,rep39@example.com,001-487-211-1424x48453,Male,PENDING,,2025-03-22 20:00:23,2025-07-03 16:11:24
40,"Leonard, Harris and Nelson",app40@example.com,(535)575-6143x623,%Z5NozDz@g,16b5b28a-ec38-4d04-bc9a-ec75c24cbef2,Area light reach edge scene.,"4379 John Path Suite 475, New Kirstenstad, MN 40771",wholesale,Michael Brown,rep40@example.com,935-865-2569x74392,Female,APPROVED,,2025-01-23 14:51:29,2025-07-03 16:09:48
41,"Norton, Lopez and Mccoy",app41@example.com,599.781.1503x595,6!0#^OcljU,9c365d86-705c-49df-b5a1-58dc393021bd,Example many reflect government science country.,"1747 Mosley Fort, New Randall, NM 82222",wholesale,Natalie Hayes,rep41@example.com,+1-158-544-4633x7634,Female,APPROVED,,2024-11-23 08:54:55,2025-07-03 16:11:39
42,Davis PLC,app42@example.com,772.081.2850x109,s^XT5xB)yu,e7ce8911-2f8e-4aab-900e-4febed8a44bd,Common parent develop available manager.,"020 Victor Forest Apt. 338, Beverlyshire, DE 76874",retail,Karl Brown,rep42@example.com,+1-761-691-3965,Male,APPROVED,,2025-02-11 00:08:55,2025-07-03 16:10:12
43,"Blake, Wheeler and Williams",app43@example.com,+1-841-044-2368x6137,^@MSeVj78L,05404956-ba27-4b93-bd57-803ec855e290,Property together decade remember old different.,"02510 Amy Turnpike, East Julietown, NY 77091",wholesale,Jeffrey White,rep43@example.com,2671978016,Male,PENDING,,2025-05-12 12:20:23,2025-07-03 16:08:48
44,Foster-Acevedo,app44@example.com,001-795-991-8296x7910,!NM7ZQln^5,e2a053cd-8b5a-4e0b-9d0e-b4b571cbdbf7,Pay just likely about camera site.,"PSC 1396, Box 4214, APO AP 27620",retail,Erin Dyer,rep44@example.com,621.648.6453,Male,REJECTED,,2024-12-05 08:52:27,2025-07-03 16:06:25
45,Leon PLC,app45@example.com,+1-445-067-7226x437,GO3tGV!gW*,729417a2-7370-470f-baff-2ec7ecd363a5,Now test bring set box billion.,"7887 Julia Isle Suite 408, Andreachester, FL 14921",retail,Joshua Lopez,rep45@example.com,(844)730-8985x6547,Male,PENDING,Play food sit they home.,2024-11-09 00:47:13,2025-07-03 16:08:48
46,Taylor-Morgan,app46@example.com,687.690.5846x3715,Zt20!EHo4$,395f0441-bb54-476b-95c5-4bef8e4254e7,Culture training husband along wish can.,"0423 Wilson Expressway, West Dylanmouth, VT 39354",wholesale,Julia Randall,rep46@example.com,+1-557-366-0483x695,Male,APPROVED,Receive reflect fund.,2025-03-03 05:26:58,2025-07-03 16:10:58
47,Webster Ltd,app47@example.com,104-609-7546x959,(Q7ZP(ahRG,6c5fa979-7053-4670-b95c-1616196716be,Environment with environmental dream whom its.,"83532 Neal Parkways, North Natashabury, OH 94520",wholesale,Crystal Houston DVM,rep47@example.com,001-020-970-9569x00531,Male,PENDING,,2024-11-26 17:45:32,2025-07-03 16:07:02
48,"Hall, Savage and Cohen",app48@example.com,+1-225-612-1374x2489,b4Elfwjn_*,73682dda-3474-4799-a60f-9c97c9553a46,Audience style production choice talk seat full.,"39692 Ramirez Underpass, South Markland, DC 21014",retail,Joseph Thomas,rep48@example.com,001-630-731-6414,Male,APPROVED,,2025-05-06 03:50:40,2025-07-03 16:06:02
49,"White, Cameron and Moore",app49@example.com,+1-476-503-1847,Io(KNNaw+0,88016edb-1902-4b4b-b2ef-34af17295fd8,Adult still security first.,"36453 Daniels Mission, North Charles, CO 15121",retail,Sherry Valenzuela,rep49@example.com,001-079-097-8955x311,Male,REJECTED,,2025-06-05 23:59:09,2025-07-03 16:11:15
50,Morris PLC,app50@example.com,434.729.3768,&CfXei&n9r,30654ce5-7636-49ee-b45f-c3a0e665d43b,Financial senior economic down question.,"187 Christopher Ridge Apt. 163, Mcdanielfort, DC 30014",retail,Dr. Sara Sullivan,rep50@example.com,(377)725-1824x67946,Male,APPROVED,,2024-07-12 11:24:07,2025-07-03 16:06:01
51,Mitchell-Price,app51@example.com,(605)443-2366x2044,A6Fo4Nw7*8,5a743ed5-582b-4164-ae4a-725922e09b5d,Travel central understand strategy.,"46442 Dawson Way Apt. 191, North Anna, NE 70432",retail,Kyle Moran,rep51@example.com,(660)297-5675,Female,PENDING,,2024-10-29 12:03:19,2025-07-03 16:09:37
52,Taylor-Li,app52@example.com,801-376-6828,n30GAU%w^U,f9a661a5-1a2f-4850-af8a-b687602befbd,Today significant sure decision full.,"4301 Thomas Underpass Apt. 534, Port Collinstad, CA 06585",wholesale,Sarah Webb,rep52@example.com,839.061.2865x2195,Female,REJECTED,Change hope knowledge smile.,2025-04-25 10:02:15,2025-07-03 16:10:49
53,"Clarke, Johnston and Castillo",app53@example.com,825-247-6348x39843,^fAD7Cc)87,d62673c6-c4d0-4b85-a951-4e70cc1f9fde,East nation require prove task worry.,"21979 Huff Port Apt. 525, West Paul, IL 01793",retail,Tanya Jackson,rep53@example.com,2852466934,Female,PENDING,,2024-12-11 13:42:07,2025-07-03 16:11:32
54,"Grant, Murphy and Clark",app54@example.com,001-252-625-2682x456,)Yp5VKSrWM,9dc070a5-e91a-460d-8b60-1ccb10c2a776,Anyone serious five pretty along.,"17147 Steven Park Suite 322, Lake John, VT 34417",retail,Bradley Parker,rep54@example.com,(967)402-5016,Female,APPROVED,,2024-07-27 19:01:31,2025-07-03 16:06:45
55,Cooper Group,app55@example.com,169-807-7745x8945,fq7sDCo9+O,e5b70449-2534-4d1b-8756-e7822448632f,Really our myself off growth authority court.,"Unit 4327 Box 8422, DPO AP 27669",wholesale,Nathan Contreras,rep55@example.com,+1-339-351-7826,Male,REJECTED,,2025-03-29 18:46:44,2025-07-03 16:07:56
56,Petersen-Cowan,app56@example.com,7946971988,*9CNKoyWZc,1fff1817-b798-4afb-badd-a48ef5b3ec59,Light mission young teach wonder bar will.,"578 Jennings Ramp, Cynthiaberg, WA 37409",wholesale,Lynn Lewis,rep56@example.com,136-957-1958x6975,Male,APPROVED,,2025-06-28 01:10:38,2025-07-03 16:10:40
57,"Reed, Wiley and Green",app57@example.com,001-759-569-0138,zt7!JsCZ*_,ec10857d-8d13-41d0-a5ee-489a2e9b341f,Character produce region garden.,"582 Jennifer Trace, New Michelletown, HI 31642",retail,Ryan Martin,rep57@example.com,423-689-6534x795,Male,REJECTED,,2025-02-27 12:39:25,2025-07-03 16:08:34
58,"Chang, Smith and Long",app58@example.com,1767016128,N0ZBNVyK!o,23218949-fc8f-41b6-9769-b28989e92359,Alone owner join old.,"450 Parsons Glens, Port Amberburgh, MD 35484",wholesale,Shelly Kent,rep58@example.com,087-399-1435,Male,REJECTED,,2024-08-01 15:58:59,2025-07-03 16:10:00
59,Jones-Hernandez,app59@example.com,+1-967-805-0058x2642,)#3NJIgtFP,3928f29a-1863-4a38-95cc-3b7a1990647f,Last me last reality well away.,"2564 Michelle Causeway, Lake Joel, WA 41776",wholesale,Whitney Bowman,rep59@example.com,230.665.2927x290,Male,PENDING,,2025-04-20 12:22:57,2025-07-03 16:08:47
60,Ferguson Group,app60@example.com,(444)247-2001,+UU0AYObm+,3d46cd2a-b706-4ee4-b687-36b6d2dd0d66,Value business character heavy population store.,"229 West Estates Suite 481, Moodymouth, SD 99459",wholesale,Stacey Solomon,rep60@example.com,+1-801-364-2211,Female,APPROVED,,2025-05-12 19:27:05,2025-07-03 16:08:14
61,Riley Inc,app61@example.com,8024448251,K(Hm4Bpj^4,8b01624d-539a-4876-9675-530af79eba00,Past situation guy nearly.,"924 Armstrong Extension, Katherineburgh, NY 38807",wholesale,Christopher Best,rep61@example.com,+1-364-953-3426x6489,Female,PENDING,,2025-03-24 21:54:28,2025-07-03 16:09:37
62,"Richards, King and Smith",app62@example.com,001-672-395-1183x278,!)Kw1ToVZ3,c2c5c4e7-6517-44db-99a7-58a2a67f434c,Send writer cold concern space like bag bill.,"930 Thomas Walk, East Calebmouth, AL 64194",wholesale,Caroline Robinson,rep62@example.com,001-851-252-7676x2064,Female,PENDING,,2024-09-20 17:29:14,2025-07-03 16:10:43
63,Simpson-Hart,app63@example.com,911.401.4970x7880,dV(9$ePsu#,7ac5e719-8c57-4baa-a67b-5975461b7e2f,Father tonight daughter toward food yes.,"69406 Douglas Greens Apt. 681, Solisberg, UT 73517",wholesale,Jonathan Kirk,rep63@example.com,+1-540-623-0627x094,Female,REJECTED,,2024-10-16 10:46:03,2025-07-03 16:07:18
64,Brown-Schmidt,app64@example.com,6453812073,u*%LYQhW&3,0630190e-8df5-422e-8834-74e3ffa675fb,And front language statement degree hope detail.,"648 Dawn Plaza, Lake Meganside, NY 68935",wholesale,Kimberly Hoover,rep64@example.com,161.825.9375x80171,Male,APPROVED,,2025-05-11 11:37:46,2025-07-03 16:07:28
65,"Rogers, Smith and Byrd",app65@example.com,752.517.7171x55021,!Q6ROmA&@n,01467096-b001-43cd-b6f8-f87d470b4e32,Degree friend arrive officer skin base style.,"925 Carol Manor Suite 458, Victorland, ND 58153",wholesale,Kelli Rodriguez,rep65@example.com,806.435.7333x2457,Female,PENDING,,2025-04-22 08:05:10,2025-07-03 16:08:30
66,Wilson Ltd,app66@example.com,(757)649-8685x10725,5Z@2FfDo*5,9a9aa6b2-fac2-4806-ab99-7a24dfec2024,Quickly between fire seat establish suggest.,"204 Kathy Shoal, West Hectorport, AR 26046",retail,Mallory Berry,rep66@example.com,7583019739,Male,APPROVED,,2025-01-09 12:11:26,2025-07-03 16:11:22
67,"Jackson, Ortiz and Hart",app67@example.com,001-468-698-8020x81652,E+7Yr_8j82,2fe25c1f-af46-4e66-a406-c9f952518ab7,Wide man appear.,"6020 Becker Points, Brownton, WI 92260",wholesale,Alexander Garcia,rep67@example.com,477-601-2995,Female,PENDING,,2025-05-03 03:36:49,2025-07-03 16:11:01
68,Smith-Mcdonald,app68@example.com,(802)024-5762x55994,#$8pMrKJZL,1a4296a7-91d3-4f6f-b145-151bbd684693,Long standard need million game idea.,"7413 John Hills, North Melissa, CA 88656",wholesale,Pamela Santiago,rep68@example.com,051-410-0389,Female,PENDING,,2025-02-18 17:37:54,2025-07-03 16:08:25
69,Lloyd-Gallegos,app69@example.com,001-982-921-6861x9017,I+1)WkXxMi,4546e5cc-97b9-49b4-86b3-53ec7bfa70d2,Appear key past number.,"472 Dennis Vista, Ferrellton, NJ 89659",retail,Todd Vargas,rep69@example.com,601-232-7044x404,Male,PENDING,,2025-06-22 11:17:06,2025-07-03 16:11:18
70,Martin and Sons,app70@example.com,693-140-6314x126,5ocI@154)9,e180f0d8-3282-49cf-8f0f-28973ab2722c,Friend image term cause leg.,"Unit 2880 Box 0533, DPO AA 89905",retail,Joshua Rodriguez,rep70@example.com,(930)583-4761x8680,Male,REJECTED,,2024-07-23 10:11:03,2025-07-03 16:08:48
71,Guerrero-King,app71@example.com,103-043-0694,#^9Kzt3^EO,280074f9-bd0d-4095-94e9-30d49989c923,Play team national director get.,"649 Cain Curve, South Michaelhaven, WI 20271",retail,Mindy Rogers,rep71@example.com,001-889-207-0014x553,Female,REJECTED,,2025-04-21 10:02:04,2025-07-03 16:10:42
72,Owens Ltd,app72@example.com,+1-476-091-8908x917,Q@%*2FqL#1,1de21a8b-52e7-4609-9163-be0dc34eb35a,View yeah section himself.,"4144 Tyler Lodge, West Tammyside, MT 87284",wholesale,Cynthia Harvey,rep72@example.com,242.296.2502x3296,Female,APPROVED,,2025-06-15 05:42:28,2025-07-03 16:08:12
73,"Russell, Martinez and Johnson",app73@example.com,+1-409-817-8792,^TYwtW3ze6,db02cfd5-91b0-4f6d-a5f2-819654244b41,Trial somebody effect push laugh all dark.,"Unit 3015 Box 7393, DPO AA 90180",wholesale,Meghan Harrison,rep73@example.com,898-289-5447x717,Female,REJECTED,,2025-05-02 14:43:54,2025-07-03 16:07:21
74,Smith-Short,app74@example.com,959.682.8472x0938,cp@AyEwv%4,1376b753-ebf5-49ed-8fa0-99bfc6c0e4d8,Each professor occur by boy personal.,"USCGC Smith, FPO AA 51061",wholesale,Dorothy Dudley,rep74@example.com,290.069.3083,Female,APPROVED,,2025-01-15 22:58:42,2025-07-03 16:09:24
75,Simpson-Hernandez,app75@example.com,+1-648-921-5626x424,_2EgYH5y+n,b3237d78-a98c-4805-bbaf-cf521e043764,Important least near market.,"Unit 8066 Box 8650, DPO AP 44561",wholesale,Sarah Delgado,rep75@example.com,+1-614-363-7623x2778,Female,PENDING,,2024-12-08 18:30:10,2025-07-03 16:07:53
76,Torres and Sons,app76@example.com,1953984243,$A57UOXu)$,c85066e2-5fc8-4fc7-82ed-ec3efeb20a71,Season give environment million upon them.,"58932 Chad Ranch Suite 959, West Cynthia, ND 77737",retail,Curtis Stewart,rep76@example.com,(713)631-6192,Male,APPROVED,,2025-02-11 17:46:53,2025-07-03 16:10:05
77,Montes Ltd,app77@example.com,+1-109-600-2464x7390,G4NQx%s#!d,c2dfb596-d51e-422d-b695-ad1429db5c76,Public send economic service.,"Unit 4568 Box 2202, DPO AE 36804",retail,Amanda Russell,rep77@example.com,840-045-7395x35440,Female,PENDING,,2024-07-07 15:36:27,2025-07-03 16:07:16
78,Smith Ltd,app78@example.com,(419)709-4465x4741,w!7ZEzPvF_,aa4671e4-fa7e-4928-a160-2b8a08100463,Meet general finish now executive concern.,"977 Hernandez Track Suite 799, South Steven, NH 99401",wholesale,Mr. Zachary Avila,rep78@example.com,(390)167-2133x23626,Female,REJECTED,,2025-03-21 08:03:43,2025-07-03 16:11:42
79,Graves PLC,app79@example.com,(855)206-7012,^_vbq6Pc+#,a2283b4d-835d-4924-8f63-f0ad96bf8b9b,Science school site break upon half.,"0984 Kristin Walks Suite 557, Jessicachester, HI 45125",wholesale,James Green,rep79@example.com,001-163-160-2775x8991,Male,APPROVED,,2024-12-30 04:24:14,2025-07-03 16:08:04
80,"Jones, Walker and Miller",app80@example.com,6408804229,(8Ynu4mlgt,678a3f59-9428-48b3-9129-d527092f76bb,Affect million me another.,"731 Miller Inlet Suite 461, Lake Bridgetfort, CT 36604",wholesale,Paul Perez,rep80@example.com,869.101.7298,Female,APPROVED,,2025-01-08 13:05:02,2025-07-03 16:08:24
